,x1,x2,x3,x4,x5,x6,x7,x8,y
0,58.76,123.79,-3.12,-13.11,4.03,28.57125,-248.42,7.18,6.73
1,120.85,163.83,14.75,-2.12,8.61,28.05,-73.58,670.29,7.28
2,-19.3,39.05,0.55,1.34,-1.7,-2.19,280.025,3567.67,5.22
3,-65.72,-36.37,10.76,-8.88,15.04,-5.7,14.6,1054.3,6.66
4,11.0,-64.78,-3.23,7.37,25.74,20.48,91.13,102.21,-0.25
5,-41.78,-91.8,-2.67,25.926250000000003,8.13,7.98,-79.78,2461.15,3.01
6,-21.03,-69.3,3.01,8.19,12.68,0.0,-280.635,2183.69,3.61
7,19.84,-12.012277777777777,15.04,2.11,-10.95,-0.82,-11.3,10.82,2.19
8,-21.32,2.66,4.68,-5.56,24.72,4.04,9.96,751.86,6.25
9,58.85,-1.15,-2.560662983425415,12.78,-0.41204419889502736,-2.26,-46.94,34.93,0.96
10,217.68,-68.72,8.62,-2.33,17.62,-22.67,203.47,44002.925,1.45
11,55.95,-150.63,4.61,-9.91,10.93,-10.02,-26.67,18.58,-6.72
12,33.78,-42.86,9.55,0.59,-9.67,-0.33616666666666756,-73.78,19038.48,-6.26
13,-178.61,154.69,-3.89,-17.78,10.68,-3.82,-71.8,2970.25,18.25
14,135.68,-7.72,13.87,3.75,1.15,2.57,11.53,87.05,-3.69
15,-183.57,-98.55,5.31,10.11,4.46,0.77,191.59,8864.22,4.36
16,-193.22,-117.73,7.21,-6.08,-3.16,1.38,28.92,2429.5,9.52
17,206.47,-4.51,-3.04,-1.75,-3.32,4.31,16.658888888888892,16525.1,-0.97
18,38.01,42.26,2.91,1.62,-0.48,-0.33616666666666756,68.23,11395.56,-0.23
19,-15.23,-12.012277777777777,18.44,-3.82,14.94,-1.55,50.56,6543.19,13.96
20,8.84,-12.012277777777777,-16.0,-21.04,-1.22,8.32,-56.75,1615.24,2.9332978723404257
21,-212.5,-25.43,-5.48,-10.94,12.59,-3.5,46.21,7074.49,9.61
22,27.17,75.79,-19.3,-0.2991666666666668,-7.57,-5.77,-143.3,6539.96,9.49
23,-253.985,42.39,-2.6,2.8,0.07,-15.47,84.42,202.78,11.18
24,95.9,-32.15,17.15,16.67,-28.84,-9.99,-135.41,2773.08,-5.31
25,14.175055555555561,-183.84,-12.09,-0.35,1.16,-6.88,16.658888888888892,26526.64,-13.25
26,-26.61,138.97,-5.81,4.34,-0.57,-28.59875,87.27,8246.46,8.79
27,14.175055555555561,56.07,3.98,-0.2991666666666668,-0.41204419889502736,-0.33616666666666756,128.47,44002.925,9.04
28,14.175055555555561,-131.81,2.26,10.14,-16.24,-13.36,-34.45,3891.26,-13.11
29,246.515,-21.44,1.99,-0.68,-11.9,-8.74,-66.66,4178.33,2.9
30,-221.37,133.86,-9.05,7.05,-2.62,13.24,-32.59,937.58,23.08
31,-31.68,-113.68,-5.14,-14.74,-0.41204419889502736,3.82,-98.17,1554.72,0.87
32,-72.63,-110.51,-2.560662983425415,0.86,-0.05,-12.12,-124.83,5620.5,-1.94
33,246.515,-49.05,7.98,-2.34,-7.69,-10.31,-110.58,2418.67,-9.49
34,24.07,180.71,-10.41,1.72,15.09,-4.12,68.51,44002.925,18.15
35,142.43,-111.37,-2.560662983425415,0.69,18.23,-1.68,35.75,33822.89,-1.04
36,-11.38,31.56,15.48,-12.8,0.89,-0.33616666666666756,-168.27,2205.24,3.51
37,169.29,10.7,-21.65,-6.12,-9.54,-2.59,67.95,491.51,-2.87
38,51.62,-78.86,-12.15,-7.36,-12.75,-2.73,16.658888888888892,2203.36,-0.99
39,-67.84,51.04,-25.78,14.24,-10.43,1.79,-157.05,44002.925,-3.17
40,31.83,71.39,13.64,0.97,-20.87,21.7,-95.77,19104.77,11.65
41,-66.49,255.91500000000002,6.3,-10.74,5.76,8.72,73.5,4041.14,16.66
42,33.11,-171.87,-4.65,9.73,0.39,6.12,-76.41,3804.42,-9.69
43,130.52,-171.85,-10.21,0.45,-9.87,12.64,-103.38,2.92,-11.89
44,113.07,-2.15,-2.560662983425415,-5.39,3.83,28.57125,50.5,44002.925,-13.78
45,-6.27,-12.012277777777777,-27.79,15.6,10.19,21.93,-95.17,9682.56,3.08
46,-94.82,-190.44,-12.76,0.43,11.67,7.49,79.37,394.02,-0.3
47,6.64,-115.38,2.45,14.94,-21.78,-7.8,-160.29,4225.0,-5.82
48,-70.83,-59.2,14.32,5.18,-0.41204419889502736,5.23,-125.28,0.48,3.91
49,-157.29,107.93,-5.68,3.27,-13.17,7.15,20.32,19731.82,23.44
50,2.1,-229.12,3.77,-0.86,-0.41204419889502736,18.89,-79.16,580.81,-7.45
51,-5.59,-129.43,8.77,-1.21,-17.31,-7.84,10.99,2815.36,-0.33
52,150.14,-53.27,-7.91,5.45,-7.19,-0.33616666666666756,90.19,26513.61,0.87
53,-24.79,-158.24,7.38,-1.74,-0.34,4.19,106.83,5947.49,-6.19
54,43.04,162.97,-19.5,17.28,1.16,-2.43,-52.25,44002.925,7.14
55,-19.51,-4.2,12.97,-4.07,8.7,-4.42,-4.89,7141.94,0.93
56,-73.71,-21.27,5.75,13.89,-1.26,8.47,140.98,6188.97,3.44
57,29.26,-11.58,2.05,-5.85,-16.32,-2.15,-187.63,3414.06,3.71
58,-15.14,143.26,-5.96,24.28,-13.73,-28.59875,30.31,32048.16,19.9
59,-74.65,153.0,1.15,-19.0,1.93,-5.34,33.03,2601.0,13.46
60,-27.6,49.92,-13.0,-3.59,3.25,2.39,16.658888888888892,548.96,6.85
61,6.8,-9.17,-14.86,7.66,4.25,1.77,69.91,5356.78,6.39
62,163.0,-130.77,-13.44,-1.72,13.52,-12.63,55.86,900.0,-12.24
63,-45.69,-17.5,15.47,-0.2991666666666668,1.52,8.6,14.83,5700.25,8.5
64,-79.29,42.96,-6.86,5.85,-0.81,5.6,-85.66,44002.925,9.33
65,14.175055555555561,-221.86,-2.560662983425415,7.45,-0.09,-9.41,16.658888888888892,4643.06,-9.93
66,124.58,-130.55,8.0,7.56,-3.29,5.42,20.48,3996.77,-6.4
67,-92.94,20.13,-4.94,-7.35,-10.08,0.78,43.27,7546.4,5.91
68,-192.77,-109.25,-2.26,-15.41,-27.04,-9.23,122.98,9080.18,12.21
69,101.44,-177.56,10.33,-7.7,-0.42,-0.33616666666666756,55.11,24885.06,-17.13
70,-11.66,70.63,-1.68,8.08,-8.05,-3.79,114.63,21512.09,14.79
71,140.92,19.48,-17.73,4.16,5.03,-9.6,2.72,2486.02,-0.0
72,0.79,-96.93,-8.34,11.52,-0.41204419889502736,-3.93,110.89,44002.925,-6.5
73,-88.8,-97.19,-17.03,8.92,-23.94,-10.3,-23.48,7624.78,-0.66
74,57.3,4.27,-2.560662983425415,11.91,-0.6,-4.22,-69.84,727.92,-0.17
75,49.52,36.12,0.49,-1.48,-9.46,8.5,-80.87,1215.92,4.51
