,x1,x2,x3,x4,x5,x6,x7,x8,y
0,26.52,89.93,-60.46,1137.04,-3.49,4.4772727272727275,-5.88,-17.13,7.44
1,-68.18,-127.21,23.3,1471.49,16.95,2.3,-11.51,-7.7,7.31
2,-95.05,36.1,-75.27,1158.04,6.97,3.21,-5.86,8.65,-5.77
3,124.4,-8.19,-73.05727272727273,5527.92,7.36,7.23,10.77,1.92,-0.42
4,-103.25,-154.43181818181816,-2.89,4865.06,-5.21,-1.54,4.228181818181818,4.69,4.31
5,16.17,77.38,58.33,3424.59,-5.51,3.03,0.11,-13.11,16.03
6,-56.13,2.33,7.56,4755.48,9.36,10.61,-3.2,-6.94,5.05
7,40.92,-59.52,-104.81,15328.92,2.0345454545454547,7.74,-0.7,-29.401249999999997,-10.02
8,23.98,30.74,-16.480000000000004,9009.81,-1.36,-5.55,-3.02,18.35,-9.0
9,68.14,117.52,-39.75,2484.03,24.41875,2.71,-10.5,10.05,-1.01
10,0.67,61.32,19.57,1833.55,-4.62,2.53,1.3072727272727276,11.61,1.01
11,102.22,-113.34,-107.84,6502.81,23.24,8.33,-2.61,0.4,1.73
12,15.82,92.16,103.23,7830.48,-1.67,-1.0,-2.38,1.8,12.12
13,69.79,16.2,12.79,336.72,-1.49,1.99,7.07,4.25,1.66
14,-1.95,23.31,-11.91,33.52,7.07,2.42,5.187272727272727,15.75,-4.8
15,2.09,63.42,25.93,500.86,0.67,1.6136363636363635,0.3,-11.43,12.24
16,41.49,7.89,-239.45875,5396.37,-5.21,6.48,5.21,-8.03,-11.23
17,-53.05,18.734545454545458,226.11125,7030.995454545456,7.32,9.18,1.29,-4.3,-0.13
18,34.53,24.55,226.11125,3717.34,-15.91,10.51,-9.43,-6.45,16.89
19,-47.83,68.33,-37.95,29318.804318181818,17.38,-0.31,-5.99,-5.5,-4.75
20,167.44,91.71,33.97,5343.61,-15.28,21.24,-23.19125,-24.2,21.48
21,200.73,156.09,-239.45875,1386.82,0.73,3.51,9.77,9.64,-1.36
22,-126.03,19.53,-50.47,52.85,-5.57,0.43,1.5,-4.24,3.01
23,123.04,124.44,-218.92,29318.804318181818,6.21,20.01,7.8,-16.904545454545456,5.43
24,129.44,53.73,-26.41,19729.01,14.62,-0.89,-7.53,-6.25,3.7827272727272727
25,-33.27,37.68,40.26,4089.65,22.14,21.13,0.86,-0.77,12.06
26,-27.19,-30.17,-82.07,2777.29,7.65,9.27,-9.28,10.96,-7.89
27,-62.68,38.27,1.62,1473.79,-4.04,9.3,12.96,-7.31,6.2
28,-21.3,16.210909090909098,-166.04,141.85,4.67,-1.81,1.85,-4.78,-3.03
29,28.69,-32.89,35.96,1145.15,-15.17,20.25,-2.52,0.3,7.66
30,6.129999999999998,-66.86,226.11125,3846.48,8.32,2.67,8.2,-0.93,7.35
31,75.65,41.68,119.96,9164.23,5.1,-5.08,4.489090909090909,6.6,2.54
32,-6.76,7.72,-38.58,29318.804318181818,17.69,2.72,-4.98,-13.64,16.7
33,97.77,-215.66363636363639,-72.85,29318.804318181818,6.42,-3.01,9.41,7.13,-11.75
34,186.3481818181818,-143.41,-100.46,15.92,-5.38,-4.09,-4.35,16.27,-9.47
35,-11.1,-140.85,-175.03,254.72,-6.21,-1.49,9.12,-15.87,3.23
36,261.81,-120.76,-239.45875,20721.6,-5.61,6.82,1.6754545454545455,-2.57,14.12
37,-78.66,19.09,70.64,7596.87,2.513636363636364,-2.86,-3.61,-4.47,13.43
38,204.86,25.36,6.61,0.48,-2.24,-10.84,3.68,9.09,-0.65
39,33.29,15.47,-51.02,3326.98,-0.42,3.76,-5.65,-19.98,13.72
40,9.42,-2.53,226.11125,4248.43,5.97,10.83,-14.57,-5.78,28.2
41,280.61,-125.2,-1.25,29318.804318181818,8.21,-6.69,-17.24,5.66,8.83
42,114.55,73.64,-59.22,9300.67,4.46,-0.3463636363636366,2.06,5.9,-6.73
43,58.82,36.89,-16.480000000000004,8675.06,-15.17,-8.03,-10.85,-2.86,11.64
44,98.45,-108.31,12.33,11775.74181818182,-3.97,-7.46,17.23,-29.401249999999997,-4.15
45,-102.2,-146.13,-3.96,345.96,0.94,1.38,2.66,11.48,-1.24
46,16.19,-89.22,199.09,2877.25,18.5,12.36,-5.06,5.79,14.06
47,-274.36125000000004,-36.02,-52.11,3878.8,-10.32,-6.58,0.91,14.74,-3.75
48,61.57,12.786363636363639,-177.36,12531.728181818182,2.8027272727272727,7.31,3.01,-8.17,-1.81
49,-35.29,-144.6,80.42,2585.72,2.77,2.53,-2.15,3.22,8.71
50,0.30545454545454187,193.42,-57.1,2181.82,-2.46,-4.01,16.66,11.13,2.4400000000000004
51,-118.44,-168.64,-237.34,1629.74,-3.85,3.57,-3.03,6.5,-9.96
52,97.49,-296.2325,55.18,12563.550909090909,-0.7,-5.39,1.84,-0.3581818181818182,4.73
53,-15.31,124.99,-9.32,11.09,4.21,-16.61,5.56,-3.7,4.82
54,-15.54,47.63818181818181,-93.31,289.0,-0.18454545454545448,-13.04,-8.52,-2.029090909090909,1.9
55,-93.15,-43.66,-60.36,5754.74,-4.32,-23.3975,-8.84,-2.76,-1.98
56,41.95,-120.54,87.69,8675.06,-12.67,-0.07,14.25,4.02,2.41
57,37.18,28.85,114.22,8589.58,-7.63,-0.8027272727272728,-9.21,2.19,13.24
58,133.92,-119.29,-75.49,29318.804318181818,2.02,18.18,4.35,-7.2,14.7
59,-14.43,0.68,-91.41,13890.98,-23.611250000000002,-13.07,12.65,10.81,-11.81
60,-82.81,72.06,42.5,16646.16,9.9,12.82,2.06,-2.9,2.34
61,-73.92,-24.97,125.06,13862.71,3.16,22.32,23.098750000000003,12.02,0.01
62,191.29,-132.02,-80.73,27221.7,2.6,5.55,-7.05,4.22,4.8
63,-9.69,77.14,16.75,5800.35,-0.4745454545454544,-9.79,-23.19125,-4.14,3.19
64,42.25,66.02,-31.02,1266.65,10.09,12.0,-2.67,-21.015454545454546,-5.8
65,99.24,-20.25,4.72,2956.1,5.6,-3.96,-0.39,27.80875,18.42
66,-108.68,26.32,-98.88,8485.64,-6.55,-9.67,4.42,-16.18,-1.53
67,-10.68,210.27,-35.11,200.79,-9.44,1.07,-10.79,-0.92,3.11
68,164.52,132.04,4.18,4729.31,-5.7,8.34,-7.56,9.28,-3.27
69,316.50875,-4.6,211.12,8284.249090909092,-13.46,5.0,-7.36,10.14,10.65
70,-27.65,-3.34,226.11125,8.53,5.81,10.15,-2.72,7.28,15.49
71,89.76,107.82,-35.16,7619.54,2.49,-7.5,-21.84,-0.57,-1.71
72,-48.25,166.71,-76.25,29318.804318181818,-9.65,-11.21,9.9,-12.27,-4.19
73,55.27,65.5,59.99,196.28,-23.51,-0.24,5.47,-4.39,8.55
74,196.27818181818185,-118.78,37.11,5204.18,-13.35,8.83,-1.85,-14.85,10.34
75,66.75,80.95,10.71,3222.83,-3.08,-4.98,14.12,-6.48,5.03
76,6.12,-162.75,-26.08,2637.85,-0.82,-19.76,9.84,-17.288181818181815,-6.9
77,164.59,-52.94,47.51,11.63,10.41,-12.19,2.02,5.62,3.3
78,0.14,157.1,-36.58,332.7,-1.5,-9.69,16.71,1.45,1.69
79,-84.7,-290.9,137.8,3679.64,-21.68,6.55,10.79,2.8,12.47
80,18.5,-19.23,99.67,3432.79,2.44,27.322499999999998,8.54,-23.11,18.33
81,37.79,103.27,-68.96,29318.804318181818,-23.611250000000002,5.54,3.47,-13.47,-1.34
82,-116.0,135.26,49.13,3781.02,-7.29,1.32,5.75,-6.19,12.18
83,-80.31,-50.88,-72.07,64.32,4.17,7.92,-6.09,-10.95,6.12
84,40.2,12.86,-239.45875,12003.39,1.81,8.92,-15.12,13.54,-11.28
85,181.22545454545454,4.64,-55.19,27380.32,1.3954545454545455,-19.93,-2.69,-6.15,-3.73
86,-198.06,132.92,90.39,6159.11,10.17,6.52,-4.31,-9.59,10.16
87,-104.11,230.11,-0.42,29318.804318181818,14.28,5.9,6.4,-3.84,-1.57
88,69.72,-30.1,41.05,1030.41,-9.75,11.95,17.51,10.11,2.71
89,316.50875,-136.56,-47.59,11.09,-3.6,-1.0609090909090908,2.93,-5.78,3.67
90,-88.17,158.12,-47.53,239.63,1.18,-4.95,-4.21,-2.15,1.61
91,136.02,223.53,204.12,732.24,10.17,12.27,-4.73,4.66,11.41
92,-17.02,-78.18,-239.45875,1358.66,1.3,11.78,-3.83,19.97,-3.51
93,177.59727272727275,85.91,56.77,1265.22,-1.34,-8.27,13.29,-7.1,11.62
94,96.85,-245.21,-21.63,1460.77,23.53,11.81,4.31,-3.55,3.2
95,-42.05,-296.2325,89.85,3906.25,-6.42,-3.28,-10.65,0.48,5.51
96,146.39,127.3,-10.73,5115.11,-3.29,1.81,-18.402727272727272,6.28,-2.88
97,32.54,-15.77,63.34,22864.46,-6.01,9.01,-7.19,11.76,-4.94
98,85.97,-215.1,93.51,4323.06,-4.05,10.57,-11.13,12.0,0.25
99,-122.02,44.68,41.82,3459.79,4.44,11.02,-4.84,-2.0,4.83
100,92.75,65.92,-27.99,5694.21,-23.611250000000002,12.97,-20.4,-19.62727272727273,-4.14
101,-80.9,78.79,-40.02,6551.28,21.96,27.322499999999998,-2.39,2.44,4.7
102,10.8,129.32,-70.09,10924.43,1.32,2.93,4.94,9.09,-8.77
103,-180.04,291.69,-58.88,471.32,-9.13,16.91,-19.82,-4.96,2.82
104,44.23,-174.91909090909093,-4.85,29318.804318181818,16.88,-5.56,-3.83,18.59,-15.18
105,-87.94,40.19,-239.45875,22885.64,-15.31,-14.81,2.35,-3.97,9.91
106,247.93,-83.85,-53.45,5.24,-18.98,-11.59,0.08,-2.98,2.07
107,19.49,149.6,122.27,1876.62,-1.13,19.82,11.08,5.51,9.97
108,200.30454545454543,-64.39,226.11125,29318.804318181818,1.83,-3.53,-8.74,-22.58,22.95
